sample,fq1,fq2,lane
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L001_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L001_R2_001.fastq.gz,1
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L002_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L002_R2_001.fastq.gz,2
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L003_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L003_R2_001.fastq.gz,3
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L004_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L004_R2_001.fastq.gz,4
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L005_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L005_R2_001.fastq.gz,5
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L007_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L007_R2_001.fastq.gz,7
YUGOG1,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L008_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_YUGOG1_S60_L008_R2_001.fastq.gz,8
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L001_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L001_R2_001.fastq.gz,1
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L002_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L002_R2_001.fastq.gz,2
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L003_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L003_R2_001.fastq.gz,3
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L004_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L004_R2_001.fastq.gz,4
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L005_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L005_R2_001.fastq.gz,5
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L007_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L007_R2_001.fastq.gz,7
TEA1,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L008_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_TEA1_S37_L008_R2_001.fastq.gz,8
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L001_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L001_R2_001.fastq.gz,1
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L002_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L002_R2_001.fastq.gz,2
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L003_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L003_R2_001.fastq.gz,3
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L004_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L004_R2_001.fastq.gz,4
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L005_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L005_R2_001.fastq.gz,5
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L007_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L007_R2_001.fastq.gz,7
SAVG1,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L008_R1_001.fastq.gz,../../../../HOP_PROTOTYPE/25091Aru_SAVG1_S59_L008_R2_001.fastq.gz,8
