sample,fq1,fq2,lane
PP04,/data/WGS_PP04_S630_L008_R1_001.fastq.gz,/data/WGS_PP04_S630_L008_R2_001.fastq.gz,8
LBR21,/data/WGS_LBR21_S9_L001_R1_001.fastq.gz,/data/WGS_LBR21_S9_L001_R2_001.fastq.gz,1
EFT19,/data/WGS_EFT19_S3_L001_R1_001.fastq.gz,/data/WGS_EFT19_S3_L001_R2_001.fastq.gz,1
EFT27,/data/WGS_EFT27_S621_L008_R1_001.fastq.gz,/data/WGS_EFT27_S621_L008_R2_001.fastq.gz,8
EFT27,/data/WGS_EFT27_S4_L001_R1_001.fastq.gz,/data/WGS_EFT27_S4_L001_R2_001.fastq.gz,1
CSM37,/data/WGS_CSM37_S627_L008_R1_001.fastq.gz,/data/WGS_CSM37_S627_L008_R2_001.fastq.gz,8
CSM37,/data/WGS_CSM37_S11_L001_R1_001.fastq.gz,/data/WGS_CSM37_S11_L001_R2_001.fastq.gz,1
ANK20,/data/WGS_ANK20_S619_L008_R1_001.fastq.gz,/data/WGS_ANK20_S619_L008_R2_001.fastq.gz,8
ANK04,/data/WGS_ANK04_S618_L008_R1_001.fastq.gz,/data/WGS_ANK04_S618_L008_R2_001.fastq.gz,8
PP03,/data/WGS_PP03_S12_L001_R1_001.fastq.gz,/data/WGS_PP03_S12_L001_R2_001.fastq.gz,1
CSM15,/data/WGS_CSM15_S628_L008_R1_001.fastq.gz,/data/WGS_CSM15_S628_L008_R2_001.fastq.gz,8
EFT19,/data/WGS_EFT19_S620_L008_R1_001.fastq.gz,/data/WGS_EFT19_S620_L008_R2_001.fastq.gz,8
CSM03AR,/data/WGS_CSM03AR_S631_L008_R1_001.fastq.gz,/data/WGS_CSM03AR_S631_L008_R2_001.fastq.gz,8
CSM15,/data/WGS_CSM15_S13_L001_R1_001.fastq.gz,/data/WGS_CSM15_S13_L001_R2_001.fastq.gz,1
ITP10,/data/WGS_ITP10_S7_L001_R1_001.fastq.gz,/data/WGS_ITP10_S7_L001_R2_001.fastq.gz,1
ADK04,/data/WGS_ADK04_S623_L008_R1_001.fastq.gz,/data/WGS_ADK04_S623_L008_R2_001.fastq.gz,8
PP03,/data/WGS_PP03_S629_L008_R1_001.fastq.gz,/data/WGS_PP03_S629_L008_R2_001.fastq.gz,8
LBR04,/data/WGS_LBR04_S10_L001_R1_001.fastq.gz,/data/WGS_LBR04_S10_L001_R2_001.fastq.gz,1
ADK04,/data/WGS_ADK04_S6_L001_R1_001.fastq.gz,/data/WGS_ADK04_S6_L001_R2_001.fastq.gz,1
ITP12,/data/WGS_ITP12_S637_L008_R1_001.fastq.gz,/data/WGS_ITP12_S637_L008_R2_001.fastq.gz,8
ANK04,/data/WGS_ANK04_S1_L001_R1_001.fastq.gz,/data/WGS_ANK04_S1_L001_R2_001.fastq.gz,1
ITP10,/data/WGS_ITP10_S624_L008_R1_001.fastq.gz,/data/WGS_ITP10_S624_L008_R2_001.fastq.gz,8
LBR21,/data/WGS_LBR21_S625_L008_R1_001.fastq.gz,/data/WGS_LBR21_S625_L008_R2_001.fastq.gz,8
ANK20,/data/WGS_ANK20_S2_L001_R1_001.fastq.gz,/data/WGS_ANK20_S2_L001_R2_001.fastq.gz,1
ADK08,/data/WGS_ADK08_S622_L008_R1_001.fastq.gz,/data/WGS_ADK08_S622_L008_R2_001.fastq.gz,8
LBR04,/data/WGS_LBR04_S626_L008_R1_001.fastq.gz,/data/WGS_LBR04_S626_L008_R2_001.fastq.gz,8
ADK08,/data/WGS_ADK08_S5_L001_R1_001.fastq.gz,/data/WGS_ADK08_S5_L001_R2_001.fastq.gz,1
ITP12,/data/WGS_ITP12_S8_L001_R1_001.fastq.gz,/data/WGS_ITP12_S8_L001_R2_001.fastq.gz,1
CSM03AR,/data/WGS_CSM03AR_S15_L001_R1_001.fastq.gz,/data/WGS_CSM03AR_S15_L001_R2_001.fastq.gz,1
